ocid,tender_id,tender_title,tender_description,buyer_id,buyer_name,supplier_id,supplier_name,tender_value_amount,award_value_amount,currency,tender_datePublished,award_date,tender_procurementMethod,tender_mainProcurementCategory,tender_status
ocds-20h3g7-12482010,12482010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 30 M - (Saluran) - Paket K",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,521104.0-1,PT. DUTA BHUANA JAYA,744502824,666660450,IDR,2023-12-20,2024-02-02,open,services,complete
ocds-20h3g7-12483010,12483010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 15 M - (Saluran) - Paket GG1",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,15133015.0-1,PT. KONINDO PANORAMA KONSULTAN,426207200,349539895.77,IDR,2023-12-20,2024-02-02,open,services,complete
ocds-20h3g7-12484010,12484010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 10 M - (Saluran) - Paket G1",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,822116.0-1,CV. KARYA GEMILANG,299587046,260184000,IDR,2023-12-20,2024-02-02,open,services,complete
ocds-20h3g7-12485010,12485010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 10 M - (Saluran) - Paket G2",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,521104.0-1,PT. DUTA BHUANA JAYA,299587046,268475700,IDR,2023-12-20,2024-02-02,open,services,complete
ocds-20h3g7-12486010,12486010,Bangunan Bertingkat 2 Lantai (KEJAKSAAN NEGERI TANJUNG PERAK),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,400116.0-1,cv. makmur sentosa,1855284000,1614073000,IDR,2023-12-29,2024-01-17,open,works,complete
ocds-20h3g7-12487010,12487010,Pembangunan Jalan Flexible Pavement Kolektor (JL. PLATUK RW 02),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,2626010.0-1,"MARGA PERKASA,CV",4793422000,4129908751.99,IDR,2023-12-29,2024-01-15,open,works,complete
ocds-20h3g7-12488010,12488010,Pembangunan Jalan Paving Baru Lebar 3 m dan Saluran 40/60 dengan Cover (JL. DINOYO ALUN-ALUN 1 S/D JL. DINOYO ALUN-ALUN 2),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,9257010.0-1,CV. JOYO NDARU,1052931000,833123952.84,IDR,2023-12-29,2024-01-15,open,works,complete
ocds-20h3g7-12490010,12490010,Pembangunan Jalan Flexible Pavement Lokal (JL. (JL. PETEMON II) ),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,13681015.0-1,PUNCAK JAYA KONSTRUKSI,2161315000,1729051999.98,IDR,2023-12-29,2024-01-18,open,works,complete
ocds-20h3g7-12491010,12491010,Pembangunan Jalan Paving Baru Lebar 4 m dan Saluran 40/60 dengan Cover Dua Sisi (JL. BULAK RUKEM II),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,9257010.0-1,CV. JOYO NDARU,1307604000,1099764082.98,IDR,2023-12-29,2024-01-16,open,works,complete
ocds-20h3g7-12492010,12492010,Pembangunan Jembatan Bentang 6 m (JL. RAYA TENGGER KANDANGAN),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1155010.0-1,CV. Naga Kencana Wiratama,2255991000,2012700084.08,IDR,2023-12-29,2024-01-15,open,works,complete
